6,Calories_trans,167.7744*,4.903,,6,Shelf_bin,157.2808*,4.1822,,6,Calories_trans,168.9655*,4.9923,,,,,,,* Optimal Value of Criterion,,,,,* Optimal Value of Criterion,,,,,6,Shelf_bin,159.3119*,4.8968
* Optimal Value of Criterion,,,,,* Optimal Value of Criterion,,,,,* Optimal Value of Criterion,,,,,,,,,,,,,,,,,,,,* Optimal Value of Criterion,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source,DF,Sum of Squares,Mean Square,F Value,Pr > F,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Model,13,14603.64253,1123.35712,180.01,<.0001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Error,63,393.15787,6.2406,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Corrected Total,76,14996.8004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R-Square,Coeff Var,Root MSE,Rating Mean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.973784,5.8551,2.49812,42.6657,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source,DF,Type I SS,Mean Square,F Value,Pr > F,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Protei*Fat_bi*Vitami,9,10489.14103,1165.46011,186.75,<.0001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calories_trans,1,1709.1173,1709.1173,273.87,<.0001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sugars_trans,1,686.03624,686.03624,109.93,<.0001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sodium,1,466.17566,466.17566,74.7,<.0001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fiber,1,1253.17231,1253.17231,200.81,<.0001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source,DF,Type III SS,Mean Square,F Value,Pr > F,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Protei*Fat_bi*Vitami,9,573.70007,63.744452,10.21,<.0001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calories_trans,1,39.17047,39.17047,6.28,0.0148,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sugars_trans,1,1618.458525,1618.458525,259.34,<.0001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sodium,1,584.971109,584.971109,93.74,<.0001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fiber,1,1253.172307,1253.172307,200.81,<.0001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Parameter,Estimate,,Standard,t Value,Pr > |t|,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Error,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Intercept,10.9857974,B,2.21475135,4.96,<.0001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Protei*Fat_bi*Vitami a. 1 a. NO a. NO,-4.32222125,B,3.24654853,-1.33,0.1879,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Protei*Fat_bi*Vitami a. 1 a. NO b. YES,-1.56287162,B,1.65610692,-0.94,0.3489,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Protei*Fat_bi*Vitami a. 1 b. YES b. YES,-6.96735224,B,1.52537311,-4.57,<.0001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Protei*Fat_bi*Vitami b. 2/3 a. NO a. NO,1.46303267,B,1.82758454,0.8,0.4264,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Protei*Fat_bi*Vitami b. 2/3 a. NO b. YES,1.88135923,B,1.1419733,1.65,0.1044,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Protei*Fat_bi*Vitami b. 2/3 b. YES a. NO,-13.43419737,B,2.74803705,-4.89,<.0001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Protei*Fat_bi*Vitami b. 2/3 b. YES b. YES,-2.80456145,B,1.0517823,-2.67,0.0097,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Protei*Fat_bi*Vitami c. 4/5/6 a. NO b. YES,5.75465461,B,2.12165664,2.71,0.0086,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Protei*Fat_bi*Vitami c. 4/5/6 b. YES a. NO,-5.13857768,B,2.76065544,-1.86,0.0674,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Protei*Fat_bi*Vitami c. 4/5/6 b. YES b. YES,0,B,.,.,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calories_trans,0.10545201,,0.04209095,2.51,0.0148,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sugars_trans,0.72288883,,0.04488838,16.1,<.0001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sodium,-0.04707497,,0.00486224,-9.68,<.0001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fiber,2.27673775,,0.16066483,14.17,<.0001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAPE,bias,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.046509,-0.00415,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rating,Rating_hat,Rating_resid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18.042851,20.4022235,-2.3593725,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19.823573,25.12912113,-5.305548132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21.871292,24.01762179,-2.146329787,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22.396513,21.51226436,0.884248643,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22.736446,21.51226436,1.224181643,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23.804043,22.32540609,1.478636907,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26.734515,26.93954595,-0.205030952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27.753301,24.65975396,3.093547039,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28.025765,24.89512881,3.130636189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28.592785,31.75448598,-3.161700979,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28.742414,29.51989632,-0.777482322,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29.509541,33.11049387,-3.600952869,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29.924285,30.23341132,-0.309126323,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30.313351,31.80085012,-1.487499123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30.450843,32.63754431,-2.186701309,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31.072217,29.81524597,1.256971031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31.230054,30.80735711,0.422696894,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31.435973,30.85513467,0.580838328,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32.207582,30.54091625,1.666665751,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33.174094,34.03240642,-0.858312423,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33.983679,33.983679,7.10543E-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34.139765,37.57314517,-3.43338017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34.384843,34.11924058,0.265602423,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35.252444,34.93182762,0.320616376,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35.782791,34.69472084,1.088070164,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36.176196,36.67027488,-0.494078876,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36.187559,34.11924058,2.068318423,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36.471512,34.85757913,1.613932873,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36.523683,38.99306148,-2.469378483,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37.038562,34.98152937,2.057032633,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37.136863,40.16226852,-3.02540552,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37.840594,36.70801888,1.132575122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38.839746,41.29571071,-2.455964711,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39.106174,38.94196221,0.164211789,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39.241114,38.47121251,0.769901489,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39.259197,36.41945274,2.839744255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39.7034,40.89725874,-1.193858735,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40.105965,39.45446406,0.651500935,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40.400208,40.90194838,-0.501740384,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40.448772,45.45542389,-5.006651885,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40.560159,41.7448841,-1.184725098,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40.69232,38.05034858,2.641971424,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40.917047,41.52904254,-0.611995536,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41.015492,39.69312433,1.322367668,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41.445019,42.2156338,-0.770614798,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41.50354,43.14778608,-1.64424608,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41.998933,42.89035917,-0.891426169,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44.330856,45.16040926,-0.829553257,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45.328074,45.55427342,-0.226199418,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45.811716,51.40669023,-5.59497423,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45.863324,46.79599261,-0.932668605,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46.658844,48.66433729,-2.005493295,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46.895644,47.31686975,-0.421225749,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49.120253,45.54462729,3.575625709,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49.511874,46.26039797,3.251476032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49.787445,47.25208819,2.535356805,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50.764999,49.02006711,1.74493189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50.828392,50.828392,1.42109E-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51.592193,48.66433729,2.927855705,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52.076897,47.38171257,4.695184429,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53.131324,50.71941543,2.411908572,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53.313813,53.92104918,-0.607236184,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53.371007,54.22409375,-0.853086751,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54.850917,54.0536795,0.797237503,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55.333142,55.09206648,0.241075522,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58.345141,54.99351595,3.351625046,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59.363993,58.54719283,0.816800166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59.425505,60.21258381,-0.78707881,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59.642837,57.59365283,2.049184168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60.756112,60.756112,7.10543E-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63.005645,68.81810366,-5.812458664,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64.533816,61.13647309,3.397342908,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68.235885,70.71649846,-2.480613457,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68.402973,66.72455451,1.678418494,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72.801787,70.05113452,2.750652482,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74.472949,72.32787227,2.145076731,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93.704912,96.11682057,-2.411908572,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
